stamp_ns,time_sec,tb1_odom_x_m,tb1_odom_y_m,tb1_odom_yaw_rad,tb2_odom_x_m,tb2_odom_y_m,tb2_odom_yaw_rad,uwb_range_m,uwb_sync_ms,camera_bearing_deg,camera_range_m,camera_uwb_residual_m,gt_x_m,gt_y_m,gt_yaw_rad
604600031532,604.600031532,19.605715831801515,14.224807977957676,-0.25919055259063534,0.6342833635177619,-18.756427608154908,-2.4748940513362823,3.1884,-0.00363,42.290205691785495,3.1868883985614027,-0.0015116014385974097,2.4018043128820223,1.8573578505020354,-1.2277089478116021
604700031538,604.700031538,19.647765891062665,14.213077795932662,-0.2621491043415269,0.5972605193354279,-18.787357163113516,-2.4682780331712504,2.8185,-0.003636,42.285855806305236,3.1420919168363852,0.32359191683638544,2.3659588085673917,1.830826014259104,-1.2190082541938685
604800031543,604.800031543,19.688001262613206,14.201147361428289,-0.2658895319466209,0.5779976899504903,-18.801863167464766,-2.464610605843109,3.0579,-0.003641,42.28401318464235,3.0960558002018512,0.038155800201851164,2.3333799278501135,1.8034379944848051,-1.2118383666346844
604900031548,604.900031548,19.72988100108391,14.19010378907919,-0.2695484476660738,0.5393931828843099,-18.833367882342763,-2.458384428495906,3.3286,-0.003646,42.27945575516835,3.0499097659424956,-0.27869023405750415,2.2982692585506084,1.776469226315796,-1.2046634272333039
605000031553,605.000031553,19.772547160447214,14.178065204263856,-0.27024075456729857,0.5226820529580956,-18.8474130764994,-2.455312647624664,2.7844,-0.003651,42.28438893602241,3.0028050029709665,0.21840500297096632,2.2640318590215416,1.748200129795503,-1.1978269955071044
605100031558,605.100031558,19.816907837586303,14.16658489540031,-0.2720211419848901,0.4853353269881516,-18.87801867602127,-2.4484841216997877,2.9449,-0.003656,42.31932884312003,2.958244532817939,0.013344532817939125,2.2289434821825047,1.7200370520467878,-1.1897989060044116
605200031564,605.200031564,19.859621154653734,14.154126473562524,-0.2751377950349349,0.46605913787888037,-18.893347949595583,-2.4464754701499563,2.7749,-0.003662,42.38940990576124,2.9123119927812215,0.1374119927812214,2.1922526890205964,1.69337059727092,-1.1818837985374595
605300031569,605.300031569,19.902586680935237,14.142053469840354,-0.27816896210693315,0.4311327689183097,-18.92225224585264,-2.4431740965499156,2.6229,-0.003667,42.474119165979644,2.8668475078654136,0.24394750786541364,2.1573476272587753,1.6687714793895125,-1.1761511159325146
605400031574,605.400031574,19.946032848047,14.128991126338853,-0.2800436181293733,0.41557300146740866,-18.936191255663168,-2.4400120745425,2.6935,-0.003672,42.56528795056779,2.823548297738103,0.130048297738103,2.122549375036117,1.6446995833786675,-1.1699882340160213
605500031579,605.500031579,19.991097230421694,14.114616133926573,-0.2844915907678986,0.38067456237383335,-18.967360286039934,-2.433173385224438,2.7365,-0.003677,42.516393610425126,2.7789465575395633,0.04244655753956339,2.088699231842382,1.6187900040131704,-1.1623964510612042
